split,filename,writer,page_id,language,same_text,candidate_count,otsu_threshold,eligible_for_fixed_k
selection,0006_1.jpg,6,1,Arabic,0,170,0.02474398910999298,True
selection,0006_2.jpg,6,2,Arabic,1,246,0.018382731825113297,True
selection,0006_3.jpg,6,3,English,0,136,0.032242799177765846,True
selection,0006_4.jpg,6,4,English,1,256,0.02197136264294386,True
selection,0012_1.jpg,12,1,Arabic,0,132,0.0278574638068676,True
selection,0012_2.jpg,12,2,Arabic,1,222,0.03530919924378395,True
selection,0012_3.jpg,12,3,English,0,158,0.034037623554468155,True
selection,0012_4.jpg,12,4,English,1,208,0.041512081399559975,True
selection,0015_1.jpg,15,1,Arabic,0,163,0.014273380860686302,True
selection,0015_2.jpg,15,2,Arabic,1,210,0.024510053917765617,True
selection,0015_3.jpg,15,3,English,0,145,0.024500584229826927,True
selection,0015_4.jpg,15,4,English,1,247,0.018237434327602386,True
selection,0018_1.jpg,18,1,Arabic,0,175,0.019688795320689678,True
selection,0018_2.jpg,18,2,Arabic,1,235,0.02841118723154068,True
selection,0018_3.jpg,18,3,English,0,160,0.027100926265120506,True
selection,0018_4.jpg,18,4,English,1,361,0.02798306941986084,True
selection,0035_1.jpg,35,1,Arabic,0,160,0.04004524275660515,True
selection,0035_2.jpg,35,2,Arabic,1,216,0.04456258751451969,True
selection,0035_3.jpg,35,3,English,0,113,0.02877783216536045,True
selection,0035_4.jpg,35,4,English,1,295,0.04677130468189716,True
selection,0042_1.jpg,42,1,Arabic,0,153,0.030143024399876595,True
selection,0042_2.jpg,42,2,Arabic,1,308,0.03154940064996481,True
selection,0042_3.jpg,42,3,English,0,153,0.0256327036768198,True
selection,0042_4.jpg,42,4,English,1,338,0.02739788219332695,True
selection,0043_1.jpg,43,1,Arabic,0,119,0.02531882096081972,True
selection,0043_2.jpg,43,2,Arabic,1,281,0.026838649064302444,True
selection,0043_3.jpg,43,3,English,0,196,0.02927749790251255,True
selection,0043_4.jpg,43,4,English,1,351,0.030006524175405502,True
selection,0060_1.jpg,60,1,Arabic,0,119,0.021183371543884277,True
selection,0060_2.jpg,60,2,Arabic,1,166,0.016093725338578224,True
selection,0060_3.jpg,60,3,English,0,134,0.025395344011485577,True
selection,0060_4.jpg,60,4,English,1,211,0.026644444093108177,True
selection,0066_1.jpg,66,1,Arabic,0,146,0.019241374917328358,True
selection,0066_2.jpg,66,2,Arabic,1,246,0.051479654386639595,True
selection,0066_3.jpg,66,3,English,0,154,0.022370275110006332,True
selection,0066_4.jpg,66,4,English,1,354,0.030788479372859,True
selection,0067_1.jpg,67,1,Arabic,0,167,0.025347134098410606,True
selection,0067_2.jpg,67,2,Arabic,1,253,0.027563520707190037,True
selection,0067_3.jpg,67,3,English,0,162,0.032157646492123604,True
selection,0067_4.jpg,67,4,English,1,359,0.023575512692332268,True
selection,0079_1.jpg,79,1,Arabic,0,157,0.017193063162267208,True
selection,0079_2.jpg,79,2,Arabic,1,214,0.017660103738307953,True
selection,0079_3.jpg,79,3,English,0,138,0.022449645213782787,True
selection,0079_4.jpg,79,4,English,1,207,0.029573436826467514,True
selection,0086_1.jpg,86,1,Arabic,0,230,0.034324731677770615,True
selection,0086_2.jpg,86,2,Arabic,1,201,0.0403822660446167,True
selection,0086_3.jpg,86,3,English,0,265,0.05291298218071461,True
selection,0086_4.jpg,86,4,English,1,277,0.05239612050354481,True
