split,filename,writer,page_id,language,same_text,candidate_count,otsu_threshold,eligible_for_fixed_k
fit,0001_1.jpg,1,1,Arabic,0,156,0.017901545390486717,True
fit,0001_2.jpg,1,2,Arabic,1,229,0.018651279620826244,True
fit,0001_3.jpg,1,3,English,0,134,0.021977603435516357,True
fit,0001_4.jpg,1,4,English,1,301,0.020904206670820713,True
fit,0002_1.jpg,2,1,Arabic,0,143,0.018913053907454014,True
fit,0002_2.jpg,2,2,Arabic,1,220,0.02090753335505724,True
fit,0002_3.jpg,2,3,English,0,138,0.028607336804270744,True
fit,0002_4.jpg,2,4,English,1,235,0.009942620526999235,True
fit,0003_1.jpg,3,1,Arabic,0,155,0.02165238093584776,True
fit,0003_2.jpg,3,2,Arabic,1,256,0.022097913548350334,True
fit,0003_3.jpg,3,3,English,0,162,0.020110093988478184,True
fit,0003_4.jpg,3,4,English,1,343,0.020815878175199032,True
fit,0007_1.jpg,7,1,Arabic,0,160,0.014271656516939402,True
fit,0007_2.jpg,7,2,Arabic,1,186,0.014521908015012741,True
fit,0007_3.jpg,7,3,English,0,132,0.02022476214915514,True
fit,0007_4.jpg,7,4,English,1,200,0.022102260030806065,True
fit,0008_1.jpg,8,1,Arabic,0,149,0.016705933958292007,True
fit,0008_2.jpg,8,2,Arabic,1,283,0.017722247168421745,True
fit,0008_3.jpg,8,3,English,0,140,0.02301099430769682,True
fit,0008_4.jpg,8,4,English,1,308,0.02834692969918251,True
fit,0011_1.jpg,11,1,Arabic,0,145,0.01854343805462122,True
fit,0011_2.jpg,11,2,Arabic,1,228,0.020206693559885025,True
fit,0011_3.jpg,11,3,English,0,133,0.019392129965126514,True
fit,0011_4.jpg,11,4,English,1,250,0.018994146026670933,True
fit,0019_1.jpg,19,1,Arabic,0,148,0.022401798516511917,True
fit,0019_2.jpg,19,2,Arabic,1,270,0.024397484958171844,True
fit,0019_3.jpg,19,3,English,0,171,0.017443069256842136,True
fit,0019_4.jpg,19,4,English,1,297,0.015734897926449776,True
fit,0020_1.jpg,20,1,Arabic,0,124,0.020235522650182247,True
fit,0020_2.jpg,20,2,Arabic,1,215,0.019061275757849216,True
fit,0020_3.jpg,20,3,English,0,120,0.029039296321570873,True
fit,0020_4.jpg,20,4,English,1,292,0.045990778133273125,True
fit,0021_1.jpg,21,1,Arabic,0,136,0.018288755789399147,True
fit,0021_2.jpg,21,2,Arabic,1,163,0.022218354046344757,True
fit,0021_3.jpg,21,3,English,0,120,0.014592722058296204,True
fit,0021_4.jpg,21,4,English,1,202,0.021598919294774532,True
fit,0022_1.jpg,22,1,Arabic,0,146,0.02213846705853939,True
fit,0022_2.jpg,22,2,Arabic,1,228,0.01412836741656065,True
fit,0022_3.jpg,22,3,English,0,147,0.023132269270718098,True
fit,0022_4.jpg,22,4,English,1,277,0.016370107419788837,True
fit,0025_1.jpg,25,1,Arabic,0,132,0.02109249122440815,True
fit,0025_2.jpg,25,2,Arabic,1,154,0.0126663688570261,True
fit,0025_3.jpg,25,3,English,0,135,0.02164788730442524,True
fit,0025_4.jpg,25,4,English,1,237,0.014329502824693918,True
fit,0026_1.jpg,26,1,Arabic,0,166,0.014997733756899834,True
fit,0026_2.jpg,26,2,Arabic,1,269,0.014388283714652061,True
fit,0026_3.jpg,26,3,English,0,145,0.014297958929091692,True
fit,0026_4.jpg,26,4,English,1,305,0.016861739568412304,True
fit,0027_1.jpg,27,1,Arabic,0,114,0.015159863978624344,True
fit,0027_2.jpg,27,2,Arabic,1,169,0.02147113624960184,True
fit,0027_3.jpg,27,3,English,0,124,0.017566772177815437,True
fit,0027_4.jpg,27,4,English,1,232,0.013137134723365307,True
fit,0029_1.jpg,29,1,Arabic,0,165,0.021444398909807205,True
fit,0029_2.jpg,29,2,Arabic,1,255,0.029343307949602604,True
fit,0029_3.jpg,29,3,English,0,137,0.02936568669974804,True
fit,0029_4.jpg,29,4,English,1,299,0.02367391809821129,True
fit,0030_1.jpg,30,1,Arabic,0,141,0.01266811927780509,True
fit,0030_2.jpg,30,2,Arabic,1,238,0.013699520844966173,True
fit,0030_3.jpg,30,3,English,0,160,0.017072666436433792,True
fit,0030_4.jpg,30,4,English,1,256,0.015771597623825073,True
fit,0031_1.jpg,31,1,Arabic,0,146,0.02727037388831377,True
fit,0031_2.jpg,31,2,Arabic,1,192,0.02465005312114954,True
fit,0031_3.jpg,31,3,English,0,129,0.013795596547424793,True
fit,0031_4.jpg,31,4,English,1,252,0.01431434927508235,True
fit,0038_1.jpg,38,1,Arabic,0,153,0.01642428245395422,True
fit,0038_2.jpg,38,2,Arabic,1,268,0.015755792148411274,True
fit,0038_3.jpg,38,3,English,0,142,0.01853243261575699,True
fit,0038_4.jpg,38,4,English,1,312,0.014214360155165195,True
